<<<<<<< HEAD
81,MARCKS,SCN2A,CNR1,LMO4,CKB,PPP3R1,VGF,PMP22,SERPINI1,CUL2,GOT1,NAP1L5,AARD,Qdpr,SUPT16H,RPL24 | AMEX60DD048413,TENM2 | AMEX60DD030344,Axin2,Nudt4,Hpca,Nrgn,,ENSMUSG00000003153,Gm42418
82,TUBB,CD47,THOC7,CLDN11,OXCT1,OXCT1,DPP6,GPM6A,ATP6V1G2,FAM19A5,SARAF,ITFG1,TINAGL1,Fez1,HSP90AB1,NPTXR | AMEX60DD029261,CKB[hs] | AMEX60DD011087,Meis2,Ly6e,Nrgn,Usmg5,,ENSMUSG00000033379,Htr1b
83,MSMO1,FAIM2,MALAT1,ENC1,PLP1,HMGCR,PFKM,CA10,UBE2O,IGHG4,COL1A1,MGAT5B,THOC7,Nap1l5,REG3G,AB205_0156120[nr]|KRT19[hs] | AMEX60DD010100,RPS21 | AMEX60DD026937,Hoxa11,Dgkb,Scg2,Penk,,ENSMUSG00000063856,Atp2a2
84,MDH1,ATP1A3,MPPED1,TPI1,NEUROD6,ITPK1,CADM2,SCN1B,GOT1,NUPR1,MOAP1,KIAA1211L,FBN2,Tspan7,MXRA5,CPE | AMEX60DD045225,DIPK1C | AMEX60DD039252,Lfng,Arpp21,Usmg5,Ndufa4,,ENSMUSG00000025351,mt.Nd2
85,BTBD8,RTN4,NCOA7,ATP2B1,VDAC1,PLP1,GPM6A,MEG3,SYNGR2,HPCAL1,DDR1,LYSMD2,CCL18,Ldha,COMMD3,RPS15 | AMEX60DD013500,AMEX60DD014061,Ezh1,Sox2ot,Penk,,,ENSMUSG00000032080,Shisa6
86,PPP3R1,CDK5R1,TUBB,CD47,SLC35F1,NEUROD6,LANCL1,PLCB1,COL1A1,THY1,PREX1,MIF,HCST,Tagln3,ENG,PLTP | AMEX60DD027512,AMEX60DD006566,Pax6,Olfm3,,,,ENSMUSG00000003955,Gpm6a
87,CKB,TF,MDH1,QDPR,SMYD2,VDAC1,SCN1B,VDAC3,SLCO1A2,BASP1,NAP1L5,CABP1,SLC25A16,Prkcd,PLTP,DR999_PMT12449[nr]|SLC6A1[hs] | AMEX60DD023994,FOXC1 | AMEX60DD038386,Lef1,Nov,,,,ENSMUSG00000074637,Pja2
88,AP1S1,ARPP19,BTBD8,RTN4,NECAB1,SLC35F1,OSTF1,NORAD,IRS2,PXK,ITFG1,SNCG,HMGN2,Ppp3r1,MT2A,SLC38A4 | AMEX60DD008343,ATP5MD | AMEX60DD053006,Hoxc8,Twistnb,,,,ENSMUSG00000039103,Stum
89,PLP1,SCOC,TSPYL4,TF,SYT1,SMYD2,MEG3,PCBP2,ST8SIA5,SEZ6L2,MIF,CAMK2D,SRP19,Rgs7bp,S100A4,AGT | AMEX60DD035333,PTHLH | AMEX60DD006827,Runx1,1700086L19Rik,,,,ENSMUSG00000021102,Tiam1
90,RANBP1,SV2A,PPP3R1,SCD,SYN1,ATL1,NORAD,PSMD13,CHCHD10,RTN3,CABP1,TPPP3,STEAP4,Adgrb2,DCN,RPL11 | AMEX60DD006176,CRABP2 | AMEX60DD015718,Dppa2,Gsn,,,,ENSMUSG00000053702,Eef1a2
91,PLD3,SYNPR,CKB,GRIA2,PRUNE2,RBFOX1,BRINP1,MALAT1,DDR1,KIFAP3,SNCG,PEG3,GOLM1,Ly6e,ITGB1,AMEX60DD021526,IAPP | AMEX60DD006706,Arl4d,Arhgap25,,,,ENSMUSG00000016256,X6330403K07Rik
92,VDAC1,CRYM,ENPP2,ARPP19,LMO4,SYT1,MAP9,MPPED1,LGI1,SERPINI1,CAMK2D,CDH13,MTUS1,Ywhah,CSDE1,AMEX60DD007614,CTDSP1 | AMEX60DD056278,Per2,Vgf,,,,ENSMUSG00000018593,Gjb6
93,YJEFN3,TMEM59L,RAB6B,CHP1,AZGP1,NECAB1,MALAT1,ZEB2,MOAP1,ATP6V1G2,TPPP3,KIAA1549L,CKB,Arpp21,TPT1,NANS | AMEX60DD043925,AMEX60DD051980,Cers4,Plp1,,,,ENSMUSG00000032359,Sptbn2
94,RBFOX1,IGHA1,PLP1,SYNPR,CLDN11,OPCML,MPPED1,TUBB,PREX1,LMNA,DNER,MGST3,GRB2,Nfasc,CELA2B,P2RY1 | AMEX60DD001889,ZIC2 | AMEX60DD048179,Sall3,Gpr22,,,,ENSMUSG00000022150,Neurod6
95,SYT1,FAM3C,OLIG1,CRYM,SYNJ1,SMIM13,MARCKS,ISCU,ITFG1,CYP26B1,CDH13,PARM1,TCTEX1D2,Rhob,GCN1,RPS6 | AMEX60DD043373,RPS29 | AMEX60DD011733,Wnt5a,Rcan2,,,,ENSMUSG00000049775,Caln1
96,NECAB1,HINT1,SPTBN1,TMEM59L,FAM102B,PRUNE2,NCOA7,MDH1,NAP1L5,GOT1,KIAA1549L,NLK,CNTD2,Snap47,COL14A1,CNR1 | AMEX60DD033978,SELENOP | AMEX60DD041991,Ass1,Fxyd7,,,,ENSMUSG00000056758,Kcnc1
97,SYN1,ACTB,VDAC1,PCDH7,CDK14,LMO4,TUBB,BTBD8,MGAT5B,SARAF,CDKL5,ITPKA,PLAT,Prkacb,FN1,RPS27[nr] | AMEX60DD015050,RPL27A | AMEX60DD004757,Furin,Rps2,,,,ENSMUSG00000002985,Inf2
98,LMO4,PCMT1,DCAF6,IGHA1,ENC1,SYNJ1,ISCU,TSPYL4,PGBD5,COL1A1,MGST3,HSPH1,SIAH2,Gsn,NACA2,RACK1 | AMEX60DD010367,AMEX60DD000727,Zic3,Zfp637,,,,ENSMUSG00000042684,Dkk3
99,AZGP1,GNAS,SYNE1,FAM3C,TPI1,FAM102B,MSMO1,PRRT2,CABP1,SLCO1A2,TUBB2B,RAB3C,DMKN,Plp1,REG1B,PTN[nr] | AMEX60DD007022,NPTX2 | AMEX60DD025890,Lum,Rac1,,,,ENSMUSG00000028645,Nrgn
100,CLDN11,USP22,YJEFN3,HINT1,NREP,UHMK1,MDH1,CKB,SNCG,IRS2,PARM1,ASTN1,CCN1,Rora,CELA3B,GLUL.L[nr]|GLUL[hs] | AMEX60DD050853,TNFRSF19 | AMEX60DDU001006420,Bmp4,Mal,,,,ENSMUSG00000040752,Rps12
101,MAP4,RTN1,RBFOX1,ACTB,ATP2B1,TMEM14A,DPYSL2,ENPP2,CAMK2D,ST8SIA5,NLK,NCDN,ISLR,Nsg2,PTP4A1,,AMEX60DD005770,Icam2,Calb1,,,,ENSMUSG00000017493,Myo6
102,CDK14,TUBA1B,SYT1,DLG4,SCN2A,CDK14,PPP3R1,AP1S1,TPPP3,MOAP1,ITPKA,NAP1L2,ENPP5,Cnp,DDIT4,,HIGD1B | AMEX60DD009865,Piezo2,Nell2,,,,ENSMUSG00000052727,Gas7
103,ENC1,HSP90AB1,NECAB1,PCMT1,RFK,ENC1,PRRT2,OXCT1,CDH13,RASD2,HSPH1,CNDP1,PLAAT4,Csrp1,ETS2,,RTN4RL2 | AMEX60DD007349,Tet2,Scg2,,,,ENSMUSG00000029838,Mkl2
104,FOXG1,NEFM,LMO4,GNAS,QDPR,TPI1,CKB,PLP1,THYN1,PREX1,CAB39,TAC1,VDAC1,Fth1,PGS1,,nan | AMEX60DD000274,Wnt3,Car2,,,,ENSMUSG00000024391,Vip
105,NREP,DYNLL2,CLDN11,CACNB1,RTN4,NREP,HMGCR,NEUROD6,PARM1,NAP1L5,RAB3C,SEMA4D,SOX13,Dlgap3,CDS2,,nan | AMEX60DD024268,Nrp1,Homer1,,,,ENSMUSG00000021477,Tspan7
106,ATP2B1,CARTPT,SYNJ1,RTN1,TF,EIF4G2,PLP1,MGAT3,NLK,ITFG1,NCDN,PLA2G16,IGSF3,Mal,DMBT1,,LAMC3 | AMEX60DD050389,Meox1,Cd9,,,,ENSMUSG00000068614,Rab3c
107,CD47,GABRG2,PRPF19,TUBA1B,MAP2K1,EFR3A,CRIM1,PLD3,ITPKA,MGAT5B,NAP1L2,NRXN3,ORC6,Pmch,LTF,,SLC4A1 | AMEX60DD009895,Setd2,Atraid,,,,ENSMUSG00000026418,Foxn3
108,FAIM2,KCNC2,TMEM132B,HSP90AB1,SV2A,ATP2B1,NEUROD6,VDAC1,NLGN3,KIAA1211L,CNDP1,VGF,COL12A1,Ddn,C11orf96,,FEZF2 | AMEX60DD023808,Hoxc9,Arhgap24,,,,ENSMUSG00000035799,Usmg5
109,UBE2Z,SNCA,MAP4,R3HDM1,SYNPR,SCN2A,VDAC1,DCAF6,CCDC184,GSTA4,TAC1,DPP6,GGCT,Calb1,MFAP4,,TMSB15A | AMEX60DD037778,Foxf1,Ptk2b,,,,ENSMUSG00000028158,Wdr6
110,QDPR,RAB2A,ENC1,NEFM,VAMP1,QDPR,SLC35F1,SLC35F1,BHLHE40,CABP1,SEMA4D,PFKM,IGLC1,Scg2,CPA2,,DIPK1B | AMEX60DD050701,Erg,Lgmn,,,,ENSMUSG00000054932,Chrna4
111,RTN4,AK5,GPR37L1,CBLN4,CRYM,RTN4,SMYD2,SMYD2,RAB3C,SNCG,PLA2G16,CKMT1B,AC127526.5,Gabarapl1,CD24,,OTX2 | AMEX60DD011133,Pitx1,Chrm2,,,,ENSMUSG00000018217,Ipcef1
112,TF,GFAP,ATP2B1,S100B,CNTN1,TF,RBFOX1,ATL1,ASTN1,CAMK2D,NRXN3,PMP22,ADORA2A,Cd81,LEFTY1,,SNCA | AMEX60DD044083,Elf5,Lcat,,,,ENSMUSG00000004885,Gria1
113,GRIA2,SERPINE2,CD47,OCIAD1,TMEM59L,MAP2K1,SYT1,RBFOX1,NCDN,CYP4Z1,VGF,GPM6A,TMEM14A,Mag,CRISPLD2,,MYADM | AMEX60DD017351,Sox18,Ncdn,,,,ENSMUSG00000047454,Ckb
114,MAP2K1,SYT4,FAIM2,MAL,IGHA1,ARPP19,NECAB1,SYT1,NAP1L2,NR4A1,DPP6,CA10,SLC1A2,Cd9,CLDN1,,S1PR1 | AMEX60DD018824,Tfap2a,Sdcbp,,,,ENSMUSG00000091898,Camk2n1
115,ARPP19,SNRPN,SESN3,BNIP3,FAM3C,SCOC,SYN1,NECAB1,CNDP1,FAR1,PFKM,C2orf80,LYPD3,Ptk2b,B2M,,MXRA7 | AMEX60DD030787,Wnt3a,Slc17a7,,,,ENSMUSG00000026726,Gng13
116,SV2A,TAGLN3,ATP1A3,WASF1,HINT1,SV2A,PRUNE2,SYN1,TAC1,TPPP3,PHLDB1,SCN1B,CCN2,Lars2,UBE2O,,LOC115075212[nr]|CTSV[hs] | AMEX60DD007096,Sox17,Luzp2,,,,ENSMUSG00000002992,Serpini1
117,CRYM,SV2B,QDPR,CARTPT,ABCA3,SYNPR,LMO4,LMO4,SEMA4D,CCND2,PMP22,MEG3,CES3,Car2,ZNF33A,,PRKAR1A | AMEX60DD031194,Ezh2,Ptchd1,,,,ENSMUSG00000086324,Tmem98
118,TMEM59L,LINGO1,RTN4,PDPK1,ACTB,CRYM,AZGP1,AZGP1,PLA2G16,DNER,GPM6A,CAND1,MRPL18,Opalin,MTRNR2L12,,PENK | AMEX60DD039745,Thbs1,Arx,,,,ENSMUSG00000038805,Fam19a1
119,PCDH7,TESPA1,TF,SNCA,PCMT1,CNTN1,SYNJ1,CLDN11,NRXN3,PEG3,CA10,PHYHIP,TPI1,Nptn,CLPS,,PDGFD | AMEX60DD049470,Hoxb8,Trap1,,,,ENSMUSG00000085696,Wscd1
120,IGHA1,ATP6AP2,SCD,SELENOP,GNAS,PCDH7,CDK14,TMEM14A,VGF,CDH13,GALNT8,SLC44A1,GJA4,Scg5,AQP3,,PDYN | AMEX60DD027118,Osr1,Ddah1,,,,ENSMUSG00000024503,Plin3
121,HINT1,GABRD,MAP2K1,RAB2A,RTN1,IGHA1,ENC1,PRPF19,DPP6,ERBB3,SCN1B,KCNA2,CA2,Ncdn,PPP1R1B,,PKLR | AMEX60DD014838,Zfp57,Slc38a3,,,,ENSMUSG00000031762,Ptpn3
122,ACTB,SCG5,ARPP19,MEF2C,TUBA1B,FAM3C,TPGS2,CDK14,PFKM,PARM1,MEG3,PLCB1,GJB2,Slc17a7,CLDN2,,RCN1 | AMEX60DD004902,Usp28,Fabp7,,,,ENSMUSG00000021361,Garnl3
123,PCMT1,SAA1,SV2A,AK5,HSP90AB1,HINT1,TPI1,ENC1,PHLDB1,NLK,SLC44A1,VDAC3,DNPEP,Hba-a1,REG1A,,PARPI_0009705[nr]|RAMP2[hs] | AMEX60DD010004,Hand1,Dnajc15,,,,ENSMUSG00000049382,Adcy1
124,GNAS,SYP,CRYM,PPP1CB,NEFM,ACTB,NREP,TPI1,PMP22,ITPKA,PHYHIP,NORAD,IRX2,Hba-a2,SLC43A1,,nan | AMEX60DD026400,Aqp8,Nr4a1,,,,ENSMUSG00000032366,Tspyl4
125,RTN1,MUC1,CNTN1,GFAP,CBLN4,KHDRBS3,GPR37L1,NREP,GPM6A,HSPH1,PLCB1,HAPLN2,UBP1,Bex2,CRISP3,,AMEX60DD052103,Fam181b,Fbxw11,,,,ENSMUSG00000031548,Uchl1
126,TUBA1B,PSIP1,MEF2D,SYT4,MAL,PCMT1,COX7A2L,TTC7B,CA10,CCDC184,NORAD,CNR1,RFC4,Wfs1,CCDC80,,ANXA2 | AMEX60DD005352,Dll3,Glt8d2,,,,ENSMUSG00000051839,Neurod2
127,HSP90AB1,NPY,TMEM59L,SERPINE2,BNIP3,GNAS,ATP2B1,GPR37L1,C2orf80,RARRES3,HAPLN2,BRINP1,SDS,Tcf7l2,COL1A1,,ENC1 | AMEX60DD042402,Hoxa10,Plekhb1,,,,ENSMUSG00000026295,Pfn2
128,NEFM,FAM49A,PCDH7,NME7,CARTPT,RTN1,CD47,ATP2B1,SCN1B,BHLHE40,CNR1,MALAT1,CD38,Tac2,ABCC8,,GJB2[nr]|GJB6[hs] | AMEX60DD049364,Col1a2,Npy,,,,ENSMUSG00000051159,Pld3
129,OCIAD1,CAMK2B,IGHA1,TAGLN3,GABRG2,TUBA1B,QDPR,SCN2A,MEG3,RAB3C,BRINP1,MPPED1,PTPRB,Pdlim2,CUZD1,,WNT8B | AMEX60DD051636,Bmp5,Itm2a,,,,ENSMUSG00000039145,Epha7
130,TCEAL6,TMSB4X,ACTB,SV2B,KCNC2,HSP90AB1,RTN4,CD47,SLC44A1,ASTN1,THOC7,CKMT1A,ESR1,Sirt2,DAB2,,GSTZ1 | AMEX60DD011192,Wnt2b,Synpr,,,,ENSMUSG00000021190,Slc24a3
131,BNIP3,APOD,KHDRBS3,TESPA1,SNCA,DEXI,TF,FAIM2,PHYHIP,NPC1,FGF12,MDH1,S100A6,Scd2,CHCHD10,,TAT | AMEX60DD016957,Nefl,Gad2,,,,ENSMUSG00000006519,Nov
132,WASF1,DYNC1I1,PCMT1,GABRD,EFHD2,NEFM,PPP1R1A,ATP1A3,DYNLT3,NCDN,MALAT1,BTBD8,CXCL10,Psd,IDH2,,MAMDC2 | AMEX60DD043155,Mef2c,Ptk2,,,,ENSMUSG00000035783,Nsg2
133,CARTPT,TCEAL2,GNAS,SCG5,GABRA5,CBLN4,MAP2K1,RFK,KCNA2,NAP1L2,MPPED1,TSPYL4,CDCA4,Plekhb1,TFF2,,LOC100092458[nr] | AMEX60DD013534,Cd34,Rgs2,,,,ENSMUSG00000045330,Cox7b
134,GABRG2,SLC39A10,CAMK2A,SAA1,GPI,WASF1,ARPP19,QDPR,PLCB1,CNDP1,CACNB4,PPP3R1,CELSR1,Npy,HNRNPK,,DNER | AMEX60DD002010,Notch1,Hhatl,,,,ENSMUSG00000062327,Gbx2
135,KCNC2,GABRA1,RTN1,HK1,PLLP,CARTPT,SV2A,RTN4,NORAD,TAC1,ISCU,EVI2A,ILVBL,Eef1a2,PTGDS,,EEF1D | AMEX60DD040693,Tdo2,Commd3,,,,ENSMUSG00000092341,Ak5
136,REEP2,CRYAB,ETV5,SYP,KCNK1,GABRG2,SYNPR,TF,HAPLN2,PRKAR2B,MDH1,CKB,TCEAL3,Nptxr,SLCO4A1,,GNRHR[hs] | AMEX60DD003431,Tmem37,Efna5,,,,ENSMUSG00000020186,Mast3
137,SNCA,VSNL1,TUBA1B,MUC1,AK5,KCNC2,VAMP1,PPP1R1A,ZDHHC9,SEMA4D,BTBD8,ENPP2,HINT1,Uchl1,CYBRD1,,nan | AMEX60DD024471,Hes3,Cacng3,,,,ENSMUSG00000064337,Grm5
138,EFHD2,CNP,AMER2,FAM49A,TRIM37,RRAGA,CRYM,MAP2K1,CNR1,PLA2G16,PPP3R1,CACNA1A,ABCC11,Ppp3ca,C4B,,MEGF11 | AMEX60DD004221,Tmem108,Gfap,,,,ENSMUSG00000052854,Tac1
139,SELENOP,TUBB2A,HSP90AB1,CLDND1,GFAP,SNCA,CNTN1,ARPP19,ADGRB1,NRXN3,PRRT2,AP1S1,MCM2,Rab3a,MMP9,,INA | AMEX60DD052999,Kmt2d,Amph,,,,ENSMUSG00000085645,Plcxd2
140,KCNK1,STMN1,STARD7,TMSB4X,SYT4,EFHD2,PCDH7,SCOC,FGF12,INPP4A,CLSTN3,GNB5,ZFAS1,Gfap,TSC22D3,,EEF2 | AMEX60DD014307,Hoxb5,Marcks,,,,ENSMUSG00000069919,Gabbr2
141,AK5,C11orf87,PAM,APOD,SNRPN,GABRA5,IGHA1,SV2A,MALAT1,VGF,EVI2A,PLP1,PBK,Kl,MGAT5,,CA8 | AMEX60DD039785,Ahnak,Ctgf,,,,ENSMUSG00000069833,Bcas1
142,TRIM37,SLC6A17,TLN2,S100A11,NME7,SELENOP,FAM3C,SYNPR,LAMP5,DPP6,CKB,OLIG1,RHOF,Malat1,TBC1D23,,STMN3 | AMEX60DD027088,Lhx1,Kcnv1,,,,ENSMUSG00000019998,Stac2
143,HPRT1,ATP6V1B2,NEFM,SLC39A10,TAGLN3,RAB2A,HINT1,VAMP1,NR2F1,PFKM,ENPP2,ADGRB2,PFKFB4,Ppp1r1b,PFKFB3,,PMP2[nr] | AMEX60DD039992,Suz12,Bsg,,,,ENSMUSG00000053897,Prkch
144,GFAP,RAB3A,NCEH1,GABRA1,SV2B,AK5,ACTB,CRYM,AP3B2,PHLDB1,CACNA1A,UNC5A,CCL28,Tcf4,SAT1,,AMEX60DD007614,Foxh1,Klf10,,,,ENSMUSG00000022748,Tubb4a
145,SYT4,PSMB3,CBLN4,DLGAP1,ATP6V1C1,TRIM37,GNAS,CNTN1,MPPED1,COL6A1,TM2D3,KCTD1,IGLC3,Tnnt1,GABRP,,FGFBP3 | AMEX60DD052589,Postn,Snx10,,,,ENSMUSG00000026185,Ppp1r1a
146,SERPINE2,NDRG4,S100B,CRYAB,MGST1,HPRT1,RTN1,TMEM59L,BIN1,PMP22,HMGCR,VDAC1,TPD52,Cd59a,AHNAK,,ATP6V1E1 | AMEX60DD006934,Cyp26a1,Kcnip2,,,,ENSMUSG00000032085,Sowaha
147,SNRPN,PFN2,MAL,WASL,ATP6AP2,GFAP,TUBA1B,LARP1,TUBB,GPM6A,PLP1,DCAF6,TIGIT,Mapk1,BMP1,,AMEX60DD027248,Aldh1a2,Gatm,,,,,Arsg
148,NME7,ITM2B,WASF1,VSNL1,RETREG1,SYT4,HSP90AB1,IGHA1,ISCU,CA10,OLIG1,SLC35F1,EMC6,Gatm,ARHGAP23,,CA14 | AMEX60DD015105,Cbfa2t3,Sdc4,,,,,Ahi1
149,TAGLN3,VAMP2,CARTPT,CNP,KIDINS220,SNRPN,PAM,FAM3C,MDH1,C2orf80,SGTB,SMYD2,BIK,Rtn4,SYCN,,CRIP1 | AMEX60DD011997,Hand2,Ccdc80,,,,,Cdhr1
150,SV2B,ELAVL4,KCNC2,TUBB2A,MFSD6,TAGLN3,STK39,HINT1,BTBD8,FXYD3,PLD3,ATL1,DYSF,Hcn2,SDCBP,,DIRAS2 | AMEX60DD042966,Sox7,Nxph1,,,,,Arpp21
151,TESPA1,SYT5,PDPK1,HOMER1,ATP6V0D1,SV2B,TLN2,ACTB,PPP3R1,SCN1B,UNC5A,RBFOX1,SRPK3,Cmtm5,SERPING1,,AMEX60DD011221,Xist,Trp53i11,,,,,Arpp19
152,AASDHPPT,SYNGR1,SNCA,STMN1,SCG5,ATP6AP2,NEFM,NAP1L1,MTUS1,RAPGEFL1,VDAC1,SYT1,GADD45G,Cartpt,TPM3,,AMEX60DD002589,Hoxa7,Sepp1,,,,,Rps29
153,ATP6V0D1,VIM,GLUD1,C11orf87,SAA1,RETREG1,NCEH1,GNAS,EVI2A,HSPA4L,DCAF6,NECAB1,ZG16B,Arpp19,TFF1,,AMEX60DDU001007592,Gngt2,Arpp19,,,,,Diras2
154,CTBP1,NSF,GPI,ATP6V1B2,SLIT1,KIDINS220,ARMC10,RTN1,CKB,SCN4B,NBEA,KLC2,PGAP2,Tpt1,C14orf159,,ICAM5[nr] | AMEX60DD031895,T,Cpne5,,,,,Pde8a
155,SCG5,DIRAS2,SELENOP,RAB3A,OAT,SLC26A4-AS1,MAL,TUBA1B,TSPAN14,MEG3,SMYD2,KIAA0232,EDN1,Ptma,SH2D3C,,LOC115097542[nr]|CFD[hs] | AMEX60DD013628,Tmem119,Skil,,,,,Lamp1
156,SAA1,SLC17A7,DNAJB2,EIF4G3,SYP,ACTR1A,BNIP3,HSP90AB1,VAMP3,SLC44A1,ATL1,LMO4,BAMBI,Ifi27,CEL,,AMEX60DD017847,Setd1a,Pcdhga7,,,,,Itpr1
157,ZC3H15,CALM2,PLLP,NDRG4,OAZ1,SCG5,WASF1,TLN2,ENPP2,PHYHIP,THRB,CLDN11,EPPK1,Ppp1r14a,CD81,,FBLN1 | AMEX60DD006493,Snai1,Zmat4,,,,,mt.Nd3
158,MAST3,ATP1A1,AK5,PFN2,STMN4,SAA1,CARTPT,NEFM,CACNA1A,KCNA2,YJEFN3,SLC1A2,THBS4,Nsf,EIF1,,AMEX60DD009085,Kdr,Mcts1,,,,,Erc2
159,SYP,SNAP25,MEF2C,TRIM2,MUC1,HK1,HDGFL3,GAD2,AP1S1,SLC31A2,RBFOX1,CDK14,SLC11A1,Atp2b2,C7,,GPR17 | AMEX60DD002656,Myh9,Egr2,,,,,Pdp1
160,MUC1,PTN,PPP1CB,ATXN10,CAMK2B,SLIT1,KCNC2,SLC25A4,TM2D3,PLCB1,CDK5R2,SLC12A2,SOCS2-AS1,C1qtnf4,EPAS1,,LOC101397869[nr]|PLPP3[hs] | AMEX60DD019499,Sox2,Cyb561,,,,,Ptpn5
161,CFAP36,ROCK2,GFAP,ELAVL4,CLDND1,FKBP1B,PDPK1,CBLN4,PLP1,NEAT1,SYT1,ENC1,PLVAP,Nefl,RBM3,,RET | AMEX60DD052250,Cldn5,Mrpl22,,,,,Neat1
162,FAM49A,TCEAL7,BCAS1,VIM,SATB1,OAT,SNCA,MAL,OLIG1,SRGAP3,NECAB1,TPI1,SERPINA11,Eno2,DPYSL3,,GLUD1 | AMEX60DD051983,Cer1,C1ql3,,,,,Cpne6
163,CAMK2B,SLC24A2,SYT4,NSF,MTCH1,PAPSS1,EFHD2,TCEAL6,ADGRB2,NORAD,SOWAHA,PCP4L1,CDK2,6330403K07Rik,PCSK1N,,nan | AMEX60DD039206,Psmb8,Mef2c,,,,,Kcnj4
164,DOC2A,WSB2,SERPINE2,DIRAS2,TMSB4X,SYP,RAB2A,BNIP3,RANBP1,HAPLN2,LMO4,LMBRD2,ATG12,Slc30a3,IMPDH2,,CNFN | AMEX60DD018085,Atp1b1,Tcerg1l,,,,,Padi2
165,ADIRF,PI4KA,SNRPN,4-Sep,DYNC1I1,MUC1,KCNK1,WASF1,SGTB,CNR1,AZGP1,CA2,CYP1B1,Tmem130,PPY,,SOX3[nr]|SOX2[hs] | AMEX60DD037395,Ddit4l,Sv2b,,,,,Timp2
166,CLDND1,SERINC1,SORT1,CALM2,SH3BGRL3,NPY,AK5,CARTPT,UNC5A,ZDHHC9,CLDN11,SHTN1,UQCRB,Snrpn,CLDN10,,FBN2 | AMEX60DD042923,Tfap2b,Pllp,,,,,Enc1
167,APOD,GABRB2,NME7,SLC17A7,BSN,CLDND1,TRIM37,GABRG2,VDAC1,ADGRB1,FAM102B,ATP2B1,SLC13A2,Ppp1r9b,OLFM4,,RPL12 | AMEX60DD050974,Tcf7l1,Atp1a2,,,,,Ctxn1
168,DYNC1I1,MBP,TAGLN3,ATP1A1,SSBP3,SATB1,HPRT1,KCNC2,DCAF6,BRINP1,PRPF19,SCN2A,SERPINE2,Mef2c,SPARC,,NKX2-3 | AMEX60DD052790,Lyl1,Cd34,,,,,Sytl4
169,SLC39A10,MT1X,SV2B,SNAP25,SLC39A10,MTCH1,SYT4,SNCA,SYNE1,FGF12,SLC1A2,ATP1A3,ACSL1,Desi1,ELN,,GPI | AMEX60DD016751,Ash2l,Sgk1,,,,,Clmn
170,GABRA1,MOBP,TESPA1,TCEAL7,GABRA1,TMSB4X,SNRPN,EFHD2,SMYD2,MALAT1,CDK14,SYT16,POSTN,Pllp,HTRA1,,CYP46A1.1.L[nr]|CYP46A1[hs] | AMEX60DD011315,Wisp1,Dgkg,,,,,Ccl27a
171,CRYAB,KRT18,SYT13,SLC24A2,DYNLL1,APOD,PNCK,KCNK1,ATL1,LAMP5,SLC12A2,QDPR,JAG1,Map1b,TMSB4X,,SALL3 | AMEX60DD039092,Mpl,Ldb2,,,,,Ankrd63
172,EGR1,KRT19,AASDHPPT,XBP1,CRYAB,DYNC1I1,CSRNP3,AK5,THRB,MPPED1,ENC1,RTN4,MMP3,Atp1a2,SERPINI2,,LOC104149555[nr]|TUBA1B[hs] | AMEX60DD029966,Bid,Trim32,,,,,Etl4
173,WASL,CLSTN1,CTBP1,WSB2,G3BP2,S100A11,NME7,TRIM37,YJEFN3,CACNB4,TPI1,CDK5R1,CERS2,Scn1b,TMEM43,,VDAC1[nr] | AMEX60DD028917,Bcl2,Ptgds,,,,,Lhx9
174,VSNL1,HSPA9,SCG5,APLP2,CAMK2G,BSN,TAGLN3,HPRT1,RBFOX1,CNTNAP2,PCP4L1,TF,KCNJ8,Chgb,COL3A1,,ID4 | AMEX60DD038483,Smoc2,Brinp3,,,,,Tmem229a
175,CNP,CAPZA2,SAA1,LRRC75A,VSNL1,SLC39A10,SV2B,GFAP,CDK5R2,MDH1,LMBRD2,GRIA2,ARID5A,Arf3,APOE,,RPL10 | AMEX60DD025630,Mesp2,Acvr1c,,,,,Rxrg
176,TUBB2A,PRKCA,ZC3H15,GABRB2,CNP,SLC8A1,TESPA1,SYT4,SMARCA2,BTBD8,CA2,SCD,PTPRC,Tubb3,ABHD17C,,LOX | AMEX60DD042852,Gpc4,Snca,,,,,Camk2a
177,STMN1,DIRAS1,SLC25A46,TUBB4B,TUBB2A,GABRA1,ATP6AP2,SNRPN,LIPA,TSPYL4,MRPL33,PPP1R1A,CD79B,Zwint,MUC6,,SYP | AMEX60DD025476,Msx1,Ube2e3,,,,,Resp18
178,TOLLIP,PREPL,SYP,AGR2,VSTM2A,DYNLL1,AASDHPPT,TAGLN3,SYT1,PPP3R1,ATP2B1,MAP2K1,AP3S1,Atp2a2,TMEM51,,AMEX60DD029926,Bmper,Tmem176b,,,,,Tbr1
179,NSG1,PGM2L1,MUC1,MBP,STMN1,CRYAB,ATP6V0D1,SV2B,NECAB1,CLSTN3,SCN2A,ARPP19,MXI1,Sparc,SERPINA5,,LOC115097464[nr] | AMEX60DD013520,Sfrp5,Ralyl,,,,,Tmem163
180,SLC6A17,TSPYL1,NPY,MOBP,TOLLIP,G3BP2,SCG5,TESPA1,SOWAHA,EVI2A,CCSAP,SV2A,JPT2,Gpr37,A2M,,RPL39 | AMEX60DD037237,Isl1,Teddm3,,,,,Tmem47
